state,collection_date,positive,all_SGTF,sequenced_SGTF,B117
IL,2021-01-21,27,1,1,0
IN,2021-01-21,185,2,1,1
KY,2021-01-21,5,0,0,0
LA,2021-01-21,30,0,0,0
MA,2021-01-21,84,1,1,0
MI,2021-01-21,48,0,0,0
MN,2021-01-21,13,0,0,0
NC,2021-01-21,225,0,0,0
NJ,2021-01-21,6,0,0,0
NY,2021-01-21,6,1,1,1
OH,2021-01-21,7,0,0,0
OK,2021-01-21,3,0,0,0
PA,2021-01-21,276,0,0,0
SC,2021-01-21,3,0,0,0
TX,2021-01-21,249,2,2,2
WA,2021-01-21,3,0,0,0
WI,2021-01-21,3,0,0,0
AL,2021-01-22,10,0,0,0
AZ,2021-01-22,97,2,1,0
CA,2021-01-22,629,7,7,3
FL,2021-01-22,711,27,6,5
GA,2021-01-22,267,7,2,1
IL,2021-01-22,27,2,1,0
IN,2021-01-22,161,3,1,0
LA,2021-01-22,26,1,1,1
MA,2021-01-22,92,1,0,0
MD,2021-01-22,4,0,0,0
MI,2021-01-22,39,1,1,1
MN,2021-01-22,9,0,0,0
NC,2021-01-22,201,0,0,0
NJ,2021-01-22,9,1,0,0
NY,2021-01-22,10,0,0,0
OH,2021-01-22,6,0,0,0
OK,2021-01-22,4,0,0,0
PA,2021-01-22,257,3,2,2
SC,2021-01-22,3,0,0,0
TX,2021-01-22,229,6,1,1
VA,2021-01-22,4,0,0,0
WI,2021-01-22,3,0,0,0
AL,2021-01-23,5,0,0,0
AZ,2021-01-23,79,0,0,0
CA,2021-01-23,436,7,7,1
FL,2021-01-23,525,26,26,26
GA,2021-01-23,226,2,2,2
IL,2021-01-23,25,2,2,1
IN,2021-01-23,137,0,0,0
LA,2021-01-23,24,0,0,0
MA,2021-01-23,83,1,1,0
MI,2021-01-23,23,0,0,0
MN,2021-01-23,4,0,0,0
MS,2021-01-23,4,0,0,0
NC,2021-01-23,213,1,1,1
NJ,2021-01-23,5,0,0,0
OH,2021-01-23,5,0,0,0
PA,2021-01-23,193,0,0,0
SC,2021-01-23,4,0,0,0
TN,2021-01-23,3,0,0,0
TX,2021-01-23,208,0,0,0
WI,2021-01-23,3,0,0,0
AZ,2021-01-24,74,1,0,0
CA,2021-01-24,422,12,2,1
FL,2021-01-24,528,27,1,1
GA,2021-01-24,232,5,0,0
IL,2021-01-24,24,0,0,0
IN,2021-01-24,149,0,0,0
LA,2021-01-24,36,0,0,0
MA,2021-01-24,45,1,0,0
MI,2021-01-24,35,0,0,0
MN,2021-01-24,7,0,0,0
NC,2021-01-24,157,1,0,0
NJ,2021-01-24,4,0,0,0
NY,2021-01-24,4,1,0,0
PA,2021-01-24,186,3,2,2
TX,2021-01-24,158,0,0,0
WI,2021-01-24,3,0,0,0
AL,2021-01-25,4,0,0,0
AZ,2021-01-25,116,0,0,0
CA,2021-01-25,538,17,4,3
FL,2021-01-25,701,50,3,2
GA,2021-01-25,294,6,0,0
IL,2021-01-25,3,1,0,0
IN,2021-01-25,129,0,0,0
LA,2021-01-25,38,1,1,1
MA,2021-01-25,129,6,0,0
MD,2021-01-25,3,0,0,0
MI,2021-01-25,46,0,0,0
MN,2021-01-25,9,0,0,0
NC,2021-01-25,220,1,0,0
NJ,2021-01-25,10,0,0,0
NM,2021-01-25,3,0,0,0
NY,2021-01-25,12,1,0,0
OH,2021-01-25,3,0,0,0
PA,2021-01-25,220,6,0,0
SC,2021-01-25,5,0,0,0
TX,2021-01-25,257,1,0,0
VA,2021-01-25,3,0,0,0
AL,2021-01-26,5,0,0,0
AZ,2021-01-26,89,1,1,0
CA,2021-01-26,545,13,2,2
DE,2021-01-26,3,0,0,0
FL,2021-01-26,605,34,32,31
GA,2021-01-26,273,0,0,0
IL,2021-01-26,23,0,0,0
IN,2021-01-26,134,0,0,0
KY,2021-01-26,6,0,0,0
LA,2021-01-26,34,0,0,0
MA,2021-01-26,92,1,1,1
MI,2021-01-26,33,0,0,0
MN,2021-01-26,12,0,0,0
MS,2021-01-26,3,0,0,0
NC,2021-01-26,216,3,3,3
NJ,2021-01-26,5,0,0,0
NV,2021-01-26,3,0,0,0
NY,2021-01-26,3,0,0,0
OH,2021-01-26,9,0,0,0
PA,2021-01-26,233,2,2,1
SC,2021-01-26,10,0,0,0
TN,2021-01-26,6,0,0,0
TX,2021-01-26,256,8,8,8
WI,2021-01-26,3,0,0,0
WV,2021-01-26,4,0,0,0
AZ,2021-01-27,106,0,0,0
CA,2021-01-27,541,8,0,0
FL,2021-01-27,578,47,46,40
GA,2021-01-27,240,3,2,2
IL,2021-01-27,21,1,1,0
IN,2021-01-27,114,1,1,0
KY,2021-01-27,3,0,0,0
LA,2021-01-27,34,0,0,0
MA,2021-01-27,62,3,3,1
MI,2021-01-27,33,0,0,0
MN,2021-01-27,11,1,1,0
NC,2021-01-27,201,3,3,3
NJ,2021-01-27,5,0,0,0
NY,2021-01-27,5,0,0,0
OH,2021-01-27,4,0,0,0
PA,2021-01-27,207,4,4,4
SC,2021-01-27,3,0,0,0
TX,2021-01-27,202,4,4,4
AZ,2021-01-28,85,0,0,0
CA,2021-01-28,535,11,3,3
CT,2021-01-28,4,0,0,0
FL,2021-01-28,609,44,43,38
GA,2021-01-28,298,4,4,3
IL,2021-01-28,32,0,0,0
IN,2021-01-28,112,1,1,1
KY,2021-01-28,5,0,0,0
LA,2021-01-28,23,1,1,1
MA,2021-01-28,77,1,1,0
MI,2021-01-28,22,0,0,0
MN,2021-01-28,5,0,0,0
NC,2021-01-28,183,1,1,1
NJ,2021-01-28,8,0,0,0
NY,2021-01-28,5,0,0,0
OH,2021-01-28,6,0,0,0
PA,2021-01-28,222,0,0,0
SC,2021-01-28,5,0,0,0
TN,2021-01-28,4,0,0,0
TX,2021-01-28,200,3,3,3
VA,2021-01-28,6,0,0,0
WI,2021-01-28,3,0,0,0
AL,2021-01-29,7,0,0,0
AZ,2021-01-29,82,1,1,1
CA,2021-01-29,315,3,0,0
FL,2021-01-29,518,41,10,10
GA,2021-01-29,256,7,0,0
IL,2021-01-29,26,2,2,0
IN,2021-01-29,109,0,0,0
LA,2021-01-29,13,0,0,0
MA,2021-01-29,82,1,0,0
MD,2021-01-29,3,0,0,0
MI,2021-01-29,19,0,0,0
MN,2021-01-29,9,0,0,0
NC,2021-01-29,175,1,1,1
NJ,2021-01-29,9,2,1,1
NY,2021-01-29,4,0,0,0
OH,2021-01-29,7,1,0,0
PA,2021-01-29,224,5,1,1
TN,2021-01-29,4,0,0,0
TX,2021-01-29,164,2,1,1
AZ,2021-01-30,71,1,1,1
CA,2021-01-30,329,6,1,1
FL,2021-01-30,472,31,8,8
GA,2021-01-30,195,5,4,4
IL,2021-01-30,21,1,1,0
IN,2021-01-30,104,0,0,0
KY,2021-01-30,3,0,0,0
LA,2021-01-30,23,0,0,0
MA,2021-01-30,82,1,1,1
MD,2021-01-30,3,0,0,0
MI,2021-01-30,21,0,0,0
MN,2021-01-30,4,0,0,0
MS,2021-01-30,3,0,0,0
NC,2021-01-30,155,1,1,0
NJ,2021-01-30,13,1,1,1
NY,2021-01-30,5,0,0,0
OH,2021-01-30,4,1,1,1
PA,2021-01-30,191,2,2,2
SC,2021-01-30,7,0,0,0
TX,2021-01-30,164,2,2,1
AZ,2021-01-31,41,0,0,0
CA,2021-01-31,264,5,4,4
FL,2021-01-31,387,37,16,16
GA,2021-01-31,198,3,2,1
IL,2021-01-31,14,0,0,0
IN,2021-01-31,74,1,1,1
KY,2021-01-31,3,0,0,0
LA,2021-01-31,10,1,1,1
MA,2021-01-31,56,0,0,0
MI,2021-01-31,22,0,0,0
MN,2021-01-31,3,0,0,0
NC,2021-01-31,147,0,0,0
NJ,2021-01-31,3,0,0,0
NY,2021-01-31,4,0,0,0
PA,2021-01-31,203,3,2,1
TX,2021-01-31,138,1,1,1
AL,2021-02-01,3,0,0,0
AZ,2021-02-01,81,0,0,0
CA,2021-02-01,426,9,5,5
FL,2021-02-01,538,51,9,9
GA,2021-02-01,271,15,15,14
IL,2021-02-01,30,2,2,2
IN,2021-02-01,106,0,0,0
LA,2021-02-01,23,0,0,0
MA,2021-02-01,115,0,0,0
MI,2021-02-01,33,0,0,0
MN,2021-02-01,8,2,2,2
NC,2021-02-01,183,2,2,2
NJ,2021-02-01,3,0,0,0
NY,2021-02-01,3,0,0,0
OH,2021-02-01,5,0,0,0
PA,2021-02-01,140,2,2,2
SC,2021-02-01,5,0,0,0
TN,2021-02-01,7,0,0,0
TX,2021-02-01,207,5,5,5
AL,2021-02-02,5,0,0,0
AZ,2021-02-02,79,0,0,0
CA,2021-02-02,434,16,16,15
DE,2021-02-02,4,0,0,0
FL,2021-02-02,515,49,6,6
GA,2021-02-02,209,4,4,2
IL,2021-02-02,22,0,0,0
IN,2021-02-02,103,0,0,0
KY,2021-02-02,4,0,0,0
LA,2021-02-02,17,0,0,0
MA,2021-02-02,99,5,3,1
MI,2021-02-02,34,0,0,0
MN,2021-02-02,7,0,0,0
NC,2021-02-02,178,3,3,3
NV,2021-02-02,4,0,0,0
NY,2021-02-02,4,1,1,1
OH,2021-02-02,6,0,0,0
PA,2021-02-02,165,0,0,0
SC,2021-02-02,9,0,0,0
TN,2021-02-02,7,0,0,0
TX,2021-02-02,179,6,5,4
WI,2021-02-02,3,0,0,0
AZ,2021-02-03,64,0,0,0
CA,2021-02-03,399,14,14,14
FL,2021-02-03,409,56,7,7
GA,2021-02-03,219,13,13,12
IL,2021-02-03,10,0,0,0
IN,2021-02-03,95,1,1,1
LA,2021-02-03,18,0,0,0
MA,2021-02-03,87,4,4,4
MI,2021-02-03,25,0,0,0
MN,2021-02-03,6,0,0,0
NC,2021-02-03,156,1,1,1
NJ,2021-02-03,5,0,0,0
NY,2021-02-03,9,0,0,0
OH,2021-02-03,4,0,0,0
PA,2021-02-03,273,8,8,5
SC,2021-02-03,6,0,0,0
TX,2021-02-03,175,11,11,11
WV,2021-02-03,3,0,0,0
AZ,2021-02-04,54,1,1,1
CA,2021-02-04,356,16,15,15
DE,2021-02-04,3,0,0,0
FL,2021-02-04,385,41,6,6
GA,2021-02-04,208,7,3,2
IL,2021-02-04,17,0,0,0
IN,2021-02-04,93,2,0,0
LA,2021-02-04,22,0,0,0
MA,2021-02-04,101,5,2,1
MD,2021-02-04,3,0,0,0
MI,2021-02-04,29,1,1,1
MN,2021-02-04,13,0,0,0
NC,2021-02-04,156,0,0,0
NJ,2021-02-04,9,0,0,0
NV,2021-02-04,3,0,0,0
NY,2021-02-04,4,0,0,0
OH,2021-02-04,7,0,0,0
PA,2021-02-04,213,9,5,5
TN,2021-02-04,6,1,0,0
TX,2021-02-04,167,12,9,9
VA,2021-02-04,4,0,0,0
AL,2021-02-05,5,0,0,0
AZ,2021-02-05,59,0,0,0
CA,2021-02-05,268,10,9,6
CT,2021-02-05,3,0,0,0
FL,2021-02-05,392,49,6,5
GA,2021-02-05,189,5,4,4
IL,2021-02-05,24,0,0,0
IN,2021-02-05,69,1,0,0
LA,2021-02-05,16,0,0,0
MA,2021-02-05,102,2,2,2
MI,2021-02-05,24,1,1,1
MN,2021-02-05,9,0,0,0
NC,2021-02-05,136,1,0,0
NJ,2021-02-05,5,0,0,0
NY,2021-02-05,8,1,1,1
PA,2021-02-05,204,1,1,1
TX,2021-02-05,131,6,4,4
AZ,2021-02-06,40,0,0,0
CA,2021-02-06,191,9,2,1
FL,2021-02-06,362,39,7,7
GA,2021-02-06,157,6,6,2
IL,2021-02-06,18,0,0,0
IN,2021-02-06,64,2,1,1
LA,2021-02-06,8,1,1,1
MA,2021-02-06,70,1,1,1
MI,2021-02-06,18,0,0,0
MN,2021-02-06,6,0,0,0
MS,2021-02-06,5,0,0,0
NC,2021-02-06,125,1,0,0
NJ,2021-02-06,6,1,1,1
NY,2021-02-06,3,0,0,0
PA,2021-02-06,193,5,1,1
TX,2021-02-06,113,4,2,2
VA,2021-02-06,4,0,0,0
AL,2021-02-07,3,1,1,1
AZ,2021-02-07,40,0,0,0
CA,2021-02-07,210,3,0,0
FL,2021-02-07,341,39,9,8
GA,2021-02-07,137,7,7,7
IL,2021-02-07,12,0,0,0
IN,2021-02-07,80,2,1,1
LA,2021-02-07,8,0,0,0
MA,2021-02-07,74,1,1,1
MI,2021-02-07,13,1,1,1
MN,2021-02-07,6,0,0,0
NC,2021-02-07,117,0,0,0
NJ,2021-02-07,4,0,0,0
NY,2021-02-07,7,1,1,1
PA,2021-02-07,99,4,3,3
TX,2021-02-07,109,3,3,3
AL,2021-02-08,4,0,0,0
AZ,2021-02-08,48,1,0,0
CA,2021-02-08,276,14,1,1
CT,2021-02-08,3,0,0,0
FL,2021-02-08,425,59,6,6
GA,2021-02-08,173,11,8,7
IL,2021-02-08,9,0,0,0
IN,2021-02-08,86,2,0,0
LA,2021-02-08,9,1,1,1
MA,2021-02-08,75,1,0,0
MD,2021-02-08,3,0,0,0
MI,2021-02-08,22,0,0,0
MN,2021-02-08,15,0,0,0
NC,2021-02-08,130,0,0,0
NJ,2021-02-08,5,0,0,0
NY,2021-02-08,3,0,0,0
PA,2021-02-08,165,4,3,2
SC,2021-02-08,3,0,0,0
TN,2021-02-08,3,0,0,0
TX,2021-02-08,128,11,7,7
AL,2021-02-09,4,0,0,0
AZ,2021-02-09,51,1,1,1
CA,2021-02-09,286,15,3,3
FL,2021-02-09,387,61,11,11
GA,2021-02-09,152,11,11,11
IL,2021-02-09,12,1,1,1
IN,2021-02-09,64,0,0,0
KY,2021-02-09,5,0,0,0
LA,2021-02-09,12,0,0,0
MA,2021-02-09,65,1,1,0
MI,2021-02-09,15,1,1,1
MN,2021-02-09,12,0,0,0
NC,2021-02-09,112,1,1,1
NJ,2021-02-09,8,1,1,1
NV,2021-02-09,4,0,0,0
OH,2021-02-09,4,0,0,0
PA,2021-02-09,148,4,2,2
SC,2021-02-09,9,0,0,0
TN,2021-02-09,3,0,0,0
TX,2021-02-09,129,7,5,5
AL,2021-02-10,3,0,0,0
AZ,2021-02-10,42,2,2,2
CA,2021-02-10,266,11,10,10
FL,2021-02-10,376,69,15,13
GA,2021-02-10,190,8,8,8
IL,2021-02-10,9,0,0,0
IN,2021-02-10,66,1,1,1
LA,2021-02-10,10,0,0,0
MA,2021-02-10,54,3,3,3
MI,2021-02-10,22,0,0,0
MN,2021-02-10,8,0,0,0
NC,2021-02-10,120,3,2,2
NJ,2021-02-10,4,0,0,0
NY,2021-02-10,5,0,0,0
OH,2021-02-10,4,0,0,0
OK,2021-02-10,4,0,0,0
PA,2021-02-10,166,3,3,3
SC,2021-02-10,3,0,0,0
TX,2021-02-10,121,9,8,7
AL,2021-02-11,4,1,1,1
AZ,2021-02-11,49,0,0,0
CA,2021-02-11,195,14,11,11
FL,2021-02-11,425,74,20,19
GA,2021-02-11,177,14,3,3
IL,2021-02-11,16,1,0,0
IN,2021-02-11,64,1,1,1
KY,2021-02-11,3,0,0,0
LA,2021-02-11,12,0,0,0
MA,2021-02-11,73,1,1,1
MI,2021-02-11,19,0,0,0
MN,2021-02-11,10,0,0,0
NC,2021-02-11,110,3,0,0
NY,2021-02-11,8,0,0,0
OR,2021-02-11,3,0,0,0
PA,2021-02-11,175,3,2,2
SC,2021-02-11,6,0,0,0
TX,2021-02-11,119,4,3,2
VA,2021-02-11,3,0,0,0
AL,2021-02-12,7,1,1,1
AZ,2021-02-12,35,4,0,0
CA,2021-02-12,160,6,3,3
FL,2021-02-12,359,47,19,17
GA,2021-02-12,142,10,2,2
IL,2021-02-12,12,0,0,0
IN,2021-02-12,49,1,0,0
LA,2021-02-12,5,1,0,0
MA,2021-02-12,56,8,3,3
MI,2021-02-12,11,0,0,0
MN,2021-02-12,7,0,0,0
NC,2021-02-12,111,1,0,0
NY,2021-02-12,3,0,0,0
OH,2021-02-12,5,0,0,0
PA,2021-02-12,184,9,3,3
SC,2021-02-12,3,1,1,1
TN,2021-02-12,3,0,0,0
TX,2021-02-12,84,6,1,1
VA,2021-02-12,3,0,0,0
AZ,2021-02-13,35,3,1,1
CA,2021-02-13,141,11,10,10
FL,2021-02-13,347,57,18,18
GA,2021-02-13,104,8,3,3
IL,2021-02-13,13,0,0,0
IN,2021-02-13,45,6,2,2
LA,2021-02-13,5,0,0,0
MA,2021-02-13,63,2,1,1
MI,2021-02-13,21,4,1,1
MN,2021-02-13,11,1,1,1
NC,2021-02-13,82,4,2,2
NY,2021-02-13,5,1,0,0
PA,2021-02-13,139,9,3,3
TX,2021-02-13,85,10,5,5
AZ,2021-02-14,34,0,0,0
CA,2021-02-14,123,4,4,4
FL,2021-02-14,322,41,16,16
GA,2021-02-14,107,11,4,4
IL,2021-02-14,13,0,0,0
IN,2021-02-14,50,0,0,0
LA,2021-02-14,9,0,0,0
MA,2021-02-14,52,5,3,3
MI,2021-02-14,22,6,4,3
MN,2021-02-14,18,4,3,3
NC,2021-02-14,74,6,3,2
NJ,2021-02-14,3,0,0,0
NY,2021-02-14,6,0,0,0
OH,2021-02-14,6,0,0,0
PA,2021-02-14,137,2,1,1
TX,2021-02-14,34,5,1,1
AZ,2021-02-15,29,1,0,0
CA,2021-02-15,158,11,9,9
FL,2021-02-15,379,69,26,26
GA,2021-02-15,119,11,3,3
IL,2021-02-15,12,0,0,0
IN,2021-02-15,53,1,1,1
LA,2021-02-15,3,0,0,0
MA,2021-02-15,75,5,2,2
MI,2021-02-15,17,1,1,1
MN,2021-02-15,14,0,0,0
NC,2021-02-15,109,5,3,2
NJ,2021-02-15,9,0,0,0
NY,2021-02-15,9,2,1,1
PA,2021-02-15,158,6,3,3
TX,2021-02-15,18,1,0,0
AZ,2021-02-16,43,3,1,1
CA,2021-02-16,193,20,15,11
FL,2021-02-16,350,64,31,28
GA,2021-02-16,134,3,0,0
IL,2021-02-16,13,0,0,0
IN,2021-02-16,50,2,1,1
LA,2021-02-16,4,0,0,0
MA,2021-02-16,60,7,2,1
MI,2021-02-16,14,3,1,1
MN,2021-02-16,12,1,1,1
NC,2021-02-16,115,4,0,0
NJ,2021-02-16,6,0,0,0
NY,2021-02-16,6,0,0,0
OH,2021-02-16,5,0,0,0
PA,2021-02-16,165,10,7,7
TX,2021-02-16,32,4,2,1
WI,2021-02-16,3,0,0,0
AZ,2021-02-17,30,1,1,1
CA,2021-02-17,162,21,15,9
CT,2021-02-17,3,0,0,0
FL,2021-02-17,354,77,14,14
GA,2021-02-17,116,10,3,3
IL,2021-02-17,10,0,0,0
IN,2021-02-17,56,3,0,0
LA,2021-02-17,3,0,0,0
MA,2021-02-17,64,3,1,1
MD,2021-02-17,4,1,1,1
MI,2021-02-17,25,2,1,1
MN,2021-02-17,5,0,0,0
NC,2021-02-17,103,5,2,2
NJ,2021-02-17,6,0,0,0
NY,2021-02-17,4,0,0,0
OH,2021-02-17,3,1,0,0
PA,2021-02-17,151,6,2,2
SC,2021-02-17,4,0,0,0
TX,2021-02-17,37,5,3,3
AZ,2021-02-18,45,0,0,0
CA,2021-02-18,158,26,18,11
FL,2021-02-18,387,70,35,35
GA,2021-02-18,93,7,4,4
IL,2021-02-18,17,2,1,1
IN,2021-02-18,44,0,0,0
LA,2021-02-18,7,0,0,0
MA,2021-02-18,60,6,4,4
MI,2021-02-18,23,0,0,0
MN,2021-02-18,6,0,0,0
NC,2021-02-18,79,3,2,2
NY,2021-02-18,4,0,0,0
OH,2021-02-18,5,0,0,0
PA,2021-02-18,118,10,5,3
SC,2021-02-18,3,0,0,0
TX,2021-02-18,68,8,5,5
WI,2021-02-18,3,0,0,0
AL,2021-02-19,4,0,0,0
AZ,2021-02-19,30,2,2,2
CA,2021-02-19,108,15,12,9
CT,2021-02-19,3,0,0,0
FL,2021-02-19,358,90,42,42
GA,2021-02-19,105,13,5,4
IL,2021-02-19,10,0,0,0
IN,2021-02-19,58,3,1,1
LA,2021-02-19,12,0,0,0
MA,2021-02-19,66,9,7,6
MI,2021-02-19,28,5,0,0
MN,2021-02-19,5,0,0,0
NC,2021-02-19,106,3,0,0
NJ,2021-02-19,7,1,0,0
NY,2021-02-19,7,1,0,0
OH,2021-02-19,3,0,0,0
PA,2021-02-19,184,7,3,3
TX,2021-02-19,104,9,2,2
AZ,2021-02-20,24,1,0,0
CA,2021-02-20,104,16,12,7
FL,2021-02-20,248,68,30,29
GA,2021-02-20,74,4,1,1
IL,2021-02-20,13,0,0,0
IN,2021-02-20,38,4,1,1
LA,2021-02-20,10,0,0,0
MA,2021-02-20,50,5,0,0
MI,2021-02-20,17,4,2,2
MN,2021-02-20,5,1,1,1
NC,2021-02-20,79,8,5,5
NJ,2021-02-20,4,0,0,0
NY,2021-02-20,3,0,0,0
PA,2021-02-20,132,6,5,5
TX,2021-02-20,78,10,6,6
VA,2021-02-20,3,0,0,0
AZ,2021-02-21,19,0,0,0
CA,2021-02-21,91,13,12,11
FL,2021-02-21,268,78,51,50
GA,2021-02-21,82,10,6,5
IL,2021-02-21,10,1,0,0
IN,2021-02-21,34,0,0,0
LA,2021-02-21,6,0,0,0
MA,2021-02-21,35,4,2,2
MI,2021-02-21,25,5,2,2
MN,2021-02-21,6,0,0,0
NC,2021-02-21,67,3,2,2
NJ,2021-02-21,3,0,0,0
NY,2021-02-21,4,0,0,0
PA,2021-02-21,139,16,13,13
TX,2021-02-21,95,17,10,10
AZ,2021-02-22,37,4,0,0
CA,2021-02-22,127,21,20,20
FL,2021-02-22,349,95,72,69
GA,2021-02-22,93,15,11,11
IL,2021-02-22,16,0,0,0
IN,2021-02-22,38,6,5,5
LA,2021-02-22,7,0,0,0
MA,2021-02-22,83,4,2,1
MI,2021-02-22,22,5,4,4
MN,2021-02-22,3,1,0,0
NC,2021-02-22,87,7,4,4
PA,2021-02-22,144,8,3,3
SC,2021-02-22,5,0,0,0
TX,2021-02-22,85,11,4,4
AZ,2021-02-23,29,1,1,1
CA,2021-02-23,121,25,25,25
FL,2021-02-23,342,98,49,48
GA,2021-02-23,121,24,16,13
IL,2021-02-23,9,0,0,0
IN,2021-02-23,42,1,0,0
LA,2021-02-23,16,1,1,1
MA,2021-02-23,60,8,5,5
MD,2021-02-23,4,0,0,0
MI,2021-02-23,30,10,6,6
MN,2021-02-23,9,0,0,0
NC,2021-02-23,75,3,3,3
NJ,2021-02-23,12,0,0,0
NY,2021-02-23,12,3,0,0
OH,2021-02-23,9,0,0,0
PA,2021-02-23,154,22,12,12
TX,2021-02-23,100,22,12,11
VA,2021-02-23,3,0,0,0
AZ,2021-02-24,27,1,0,0
CA,2021-02-24,138,14,14,14
FL,2021-02-24,350,96,49,49
GA,2021-02-24,83,14,8,8
IL,2021-02-24,6,0,0,0
IN,2021-02-24,36,5,2,2
LA,2021-02-24,9,0,0,0
MA,2021-02-24,64,8,4,4
MD,2021-02-24,3,2,0,0
MI,2021-02-24,26,6,3,3
MN,2021-02-24,6,2,2,2
NC,2021-02-24,58,4,4,4
NJ,2021-02-24,4,0,0,0
NY,2021-02-24,5,2,2,2
OH,2021-02-24,7,0,0,0
PA,2021-02-24,133,11,5,5
TX,2021-02-24,76,9,3,3
AZ,2021-02-25,18,3,2,2
CA,2021-02-25,114,28,24,24
FL,2021-02-25,299,103,17,17
GA,2021-02-25,91,19,7,7
IL,2021-02-25,6,1,0,0
IN,2021-02-25,48,6,0,0
KY,2021-02-25,3,0,0,0
LA,2021-02-25,6,0,0,0
MA,2021-02-25,59,10,2,2
MD,2021-02-25,4,0,0,0
MI,2021-02-25,26,3,1,1
MN,2021-02-25,10,4,0,0
NC,2021-02-25,66,2,0,0
NJ,2021-02-25,4,0,0,0
NY,2021-02-25,3,1,0,0
PA,2021-02-25,151,15,1,1
TX,2021-02-25,55,17,5,5
AZ,2021-02-26,20,0,0,0
CA,2021-02-26,100,14,12,12
CO,2021-02-26,3,1,0,0
FL,2021-02-26,297,83,34,33
GA,2021-02-26,90,20,13,13
IL,2021-02-26,7,2,0,0
IN,2021-02-26,25,1,0,0
MA,2021-02-26,63,10,2,2
MI,2021-02-26,15,5,1,1
MN,2021-02-26,7,2,2,2
NC,2021-02-26,65,5,4,4
NY,2021-02-26,10,3,1,1
PA,2021-02-26,143,18,9,9
TX,2021-02-26,57,12,6,6
VA,2021-02-26,3,0,0,0
AZ,2021-02-27,11,0,0,0
CA,2021-02-27,71,10,5,5
FL,2021-02-27,232,82,49,47
GA,2021-02-27,87,19,13,13
IL,2021-02-27,7,0,0,0
IN,2021-02-27,30,2,2,2
LA,2021-02-27,3,0,0,0
MA,2021-02-27,76,10,6,5
MI,2021-02-27,20,3,1,1
MN,2021-02-27,5,1,1,1
NC,2021-02-27,60,5,1,1
NY,2021-02-27,3,1,1,1
PA,2021-02-27,118,17,11,11
TX,2021-02-27,45,9,6,6
AZ,2021-02-28,12,0,0,0
CA,2021-02-28,79,12,0,0
FL,2021-02-28,216,68,41,41
GA,2021-02-28,60,18,15,13
IL,2021-02-28,5,0,0,0
IN,2021-02-28,19,1,0,0
LA,2021-02-28,6,2,2,2
MA,2021-02-28,55,15,11,8
MI,2021-02-28,24,6,4,4
MN,2021-02-28,3,0,0,0
NC,2021-02-28,48,8,5,4
PA,2021-02-28,105,13,10,10
TX,2021-02-28,42,7,4,4
AZ,2021-03-01,16,2,0,0
CA,2021-03-01,92,16,0,0
FL,2021-03-01,323,119,43,41
GA,2021-03-01,105,26,9,8
IL,2021-03-01,8,1,0,0
IN,2021-03-01,32,2,1,1
LA,2021-03-01,3,1,0,0
MA,2021-03-01,76,9,5,5
MI,2021-03-01,32,6,3,3
MN,2021-03-01,4,2,2,2
NC,2021-03-01,61,7,3,3
NJ,2021-03-01,4,0,0,0
PA,2021-03-01,148,30,9,9
SC,2021-03-01,3,0,0,0
TX,2021-03-01,70,22,8,8
AZ,2021-03-02,14,2,0,0
CA,2021-03-02,98,15,0,0
FL,2021-03-02,280,119,28,28
GA,2021-03-02,80,21,6,5
IL,2021-03-02,15,2,2,2
IN,2021-03-02,28,3,0,0
KY,2021-03-02,3,0,0,0
MA,2021-03-02,62,12,6,6
MD,2021-03-02,5,2,0,0
MI,2021-03-02,34,13,1,1
MN,2021-03-02,7,1,1,1
NC,2021-03-02,60,13,3,3
NJ,2021-03-02,9,1,1,1
NY,2021-03-02,7,1,0,0
PA,2021-03-02,134,20,6,6
TX,2021-03-02,53,19,2,2
VA,2021-03-02,5,0,0,0
AZ,2021-03-03,15,4,2,2
CA,2021-03-03,83,12,2,2
FL,2021-03-03,304,126,105,105
GA,2021-03-03,95,28,26,26
IL,2021-03-03,11,3,3,3
IN,2021-03-03,40,2,2,2
LA,2021-03-03,10,2,2,1
MA,2021-03-03,80,15,7,7
MD,2021-03-03,4,1,1,1
MI,2021-03-03,44,12,3,3
MN,2021-03-03,11,6,5,5
NC,2021-03-03,66,14,10,8
NJ,2021-03-03,3,2,1,1
NY,2021-03-03,6,2,1,1
PA,2021-03-03,136,27,25,25
TX,2021-03-03,54,17,9,9
AZ,2021-03-04,15,1,0,0
CA,2021-03-04,103,23,1,1
FL,2021-03-04,284,130,51,50
GA,2021-03-04,85,29,8,7
IL,2021-03-04,11,0,0,0
IN,2021-03-04,31,6,2,2
MA,2021-03-04,57,8,3,2
MI,2021-03-04,35,18,6,6
MN,2021-03-04,13,7,6,6
NC,2021-03-04,51,3,1,1
NJ,2021-03-04,13,3,1,1
NY,2021-03-04,4,2,1,1
PA,2021-03-04,123,22,9,9
TX,2021-03-04,48,15,3,3
VA,2021-03-04,3,0,0,0
WV,2021-03-04,3,0,0,0
AZ,2021-03-05,11,0,0,0
CA,2021-03-05,75,22,3,3
FL,2021-03-05,265,100,37,37
GA,2021-03-05,65,23,10,10
IL,2021-03-05,8,2,0,0
IN,2021-03-05,30,3,3,3
LA,2021-03-05,7,2,1,1
MA,2021-03-05,66,13,6,6
MI,2021-03-05,30,15,10,10
